buyer_id;gender;age;age_group;employment_status;housing_status;country;brand;sneaker_price_usd;purchase_channel;purchase_season;reason_for_purchase;discount_used;comfort_rating;durability_rating;repurchase_intent
1;Male;45;Adult;Unemployed;Home Owner;Germany;Puma;351;Retail Store;Spring;Sports;Yes;2;3;Yes
2;Female;13;Adult;Self-employed;Homeless;Germany;New Balance;269;Online;Winter;Sports;No;3;1;Yes
3;Male;63;Senior;Self-employed;Renter;USA;Puma;59;Online;Summer;Sports;No;3;1;Yes
4;Male;17;Senior;Unemployed;Home Owner;China;Under Armour;91;Retail Store;Winter;Fashion;No;2;2;No
5;Male;25;Adult;Self-employed;Home Owner;China;Nike;432;Retail Store;Summer;Sports;Yes;3;1;No
6;Female;31;Adult;Employed;Renter;Germany;New Balance;360;Retail Store;Summer;Comfort;Yes;2;5;Yes
7;Male;24;Senior;Self-employed;Renter;UK;Adidas;105;Online;Spring;Fashion;No;1;3;No
8;Male;60;Youth;Self-employed;Home Owner;Brazil;New Balance;314;Retail Store;Autumn;Comfort;No;5;3;Yes
9;Male;37;Youth;Unemployed;Renter;Japan;Adidas;439;Online;Spring;Work;No;2;3;No
10;Female;69;Youth;Self-employed;Home Owner;Japan;New Balance;272;Retail Store;Winter;Comfort;Yes;3;4;Yes
11;Male;63;Adult;Unemployed;Home Owner;Nigeria;ASICS;391;Online;Autumn;Work;Yes;3;3;Yes
12;Male;47;Adult;Student;Home Owner;Italy;Vans;315;Online;Spring;Sports;Yes;3;1;Yes
13;Male;24;Adult;Student;Homeless;USA;Adidas;402;Retail Store;Summer;Comfort;No;1;4;No
14;Male;42;Adult;Employed;Renter;UK;Adidas;347;Retail Store;Summer;Fashion;Yes;1;3;Yes
15;Female;17;Adult;Unemployed;Home Owner;UK;Adidas;181;Retail Store;Spring;Work;No;1;3;Yes
16;Male;46;Youth;Unemployed;Renter;Canada;Puma;161;Retail Store;Winter;Fashion;Yes;2;4;Yes
17;Female;34;Adult;Unemployed;Home Owner;Canada;Crocs;244;Online;Autumn;Fashion;No;5;2;No
18;Female;51;Youth;Employed;Home Owner;Nigeria;ASICS;130;Retail Store;Spring;Fashion;Yes;1;3;No
19;Female;25;Youth;Employed;Home Owner;Brazil;New Balance;161;Online;Summer;Sports;No;3;2;No
20;Male;69;Adult;Self-employed;Renter;France;Under Armour;226;Retail Store;Summer;Fashion;No;3;5;Yes
21;Female;59;Adult;Unemployed;Home Owner;India;Nike;119;Online;Summer;Comfort;Yes;1;3;Yes
22;Male;66;Adult;Employed;Home Owner;Brazil;Adidas;195;Retail Store;Winter;Sports;Yes;5;4;No
23;Female;15;Adult;Student;Home Owner;Germany;Vans;438;Online;Autumn;Work;Yes;5;4;Yes
24;Female;65;Adult;Student;Renter;Germany;New Balance;298;Retail Store;Spring;Work;No;5;5;Yes
25;Female;32;Adult;Unemployed;Home Owner;India;Under Armour;166;Retail Store;Autumn;Fashion;Yes;3;4;Yes
26;Female;43;Adult;Student;Home Owner;India;Nike;410;Retail Store;Spring;Work;Yes;2;1;Yes
27;Female;17;Adult;Self-employed;Home Owner;China;Under Armour;43;Online;Winter;Work;No;4;2;No
28;Female;36;Adult;Self-employed;Home Owner;Italy;Puma;252;Online;Spring;Comfort;No;1;1;No
29;Female;52;Adult;Unemployed;Renter;Japan;Nike;445;Retail Store;Summer;Comfort;No;1;3;Yes
30;Female;66;Adult;Employed;Renter;USA;Under Armour;108;Retail Store;Summer;Fashion;No;4;1;Yes
31;Male;45;Adult;Employed;Home Owner;Germany;Under Armour;400;Retail Store;Winter;Fashion;Yes;4;2;Yes
32;Male;20;Adult;Employed;Renter;China;Balenciaga;270;Online;Autumn;Comfort;No;3;5;Yes
